Category, Sink ID, Process ID, Thread ID, Time (Ticks), Text
PROCESS_OUTPUT,STREAM_STDIO,40,100236,3348640466587,"[SceLncService] Num. of logged-in users is 3
"
PROCESS_OUTPUT,STREAM_STDIO,40,100236,3348669565088,"[SceLncService] hasParamSfo = {1}, attribute = {0x00000000}
"
PROCESS_OUTPUT,STREAM_STDIO,37,100144,3348670106070,"[Syscore App] createApp NPXS22010
"
PROCESS_OUTPUT,STREAM_STDIO,37,100144,3348670464160,"[Syscore App] processSpawn(pid, 0xb0c1009, 0x11009350, appParam, processParam, 0, 0, 1, param, debug, 0)
"
PROCESS_OUTPUT,STREAM_STDIO,37,100144,3348670661526,"[Syscore App] appParam: appType = 0x4, rootPath = /mnt/sandbox/NPXS22010_000, titleId = NPXS22010
"
PROCESS_OUTPUT,STREAM_STDIO,37,100144,3348670903902,"[Syscore App] processParam: elfPath = /app0/eboot.bin, fullPath = /system/vsh/app/NPXS22010/eboot.bin
"
PROCESS_OUTPUT,STREAM_STDIO,37,100144,3348671596912,"[Syscore App] new pid=0x66[Syscore App] attributeExe= 0
"
PROCESS_OUTPUT,STREAM_STDIO,37,100144,3348672661288,"[Syscore App] Ready to exec
"
PROCESS_OUTPUT,STREAM_STDIO,37,100144,3348672735166,"[Syscore App] wait for NOTE_EXIT|NOTE_EXEC
"
PROCESS_OUTPUT,STREAM_STDIO,102,101032,3348675523992,"[SceSysCore] Prologue finished
"
PROCESS_OUTPUT,STREAM_STDIO,102,101032,3348675783236,"[SceSysCore] Calling execve.
"
PROCESS_OUTPUT,STREAM_STDIO,37,100144,3348706048298,"[Syscore App] Add event : pid=0x66
"
PROCESS_OUTPUT,STREAM_STDIO,37,100144,3348706431082,"[AppMgr Trace]: New Process, pid=0x66, created.
"
PROCESS_OUTPUT,STREAM_STDIO,37,100144,3348706570669,"[AppMgr Trace]: New App, appId=0xb0c1009, created
"
PROCESS_OUTPUT,STREAM_STDIO,40,101344,3348708980396,"Error: W:\Build\J01304449\vsh\shell\shell_core\app_installer\app_installer.cpp at 6821
"
PROCESS_OUTPUT,STREAM_STDIO,40,101344,3348709048867,"hdb.GetAppInfo() ret = 80f50005
"
PROCESS_OUTPUT,STREAM_STDIO,40,101344,3348709075066,"[ScreenShotServer]: UpdateAppInfo 662 SCE_LNC_EVENT_APP_LAUNCH_END appId=0x0b0c1009, context=0, free=880a97de8
"
KERNEL_OUTPUT,STREAM_KERNEL0,0,0,3348910928968,"<118>* [AvSetting update:323] **no need to change**
"
PROCESS_OUTPUT,STREAM_STDIO,102,101032,3349282766908,"#### ProfileCacheClient : m_heap->GetFreeSize() = 14944 
"
PROCESS_OUTPUT,STREAM_STDIO,102,101032,3349282814398,"#### ProfileCacheClient : config.estimateClientMemorySize() = 4096 
"
PROCESS_OUTPUT,STREAM_STDIO,46,100450,3349284392399,"#PROFILE CACHE#: \profile_cache_server_event.cpp(37) : onNewClient : 
"
PROCESS_OUTPUT,STREAM_STDIO,102,101032,3349284781710,"#### ProfileCacheClient::Initialize() end. 
"
PROCESS_OUTPUT,STREAM_STDIO,102,101032,3349292814648,"[PSM] PsmFramework::Initialize
"
PROCESS_OUTPUT,STREAM_STDIO,102,101032,3349292975521,"PSM:25685
"
PROCESS_OUTPUT,STREAM_STDIO,102,101032,3349293053598,"MonoVM:ef3ddb5d399e20f497c1fa5b68cebb1e16c0c462
"
PROCESS_OUTPUT,STREAM_STDIO,102,101032,3349293200769,"PSS Platform:d87aa05aa0ea30bec550ba6d0a4545e3b5302eee
"
PROCESS_OUTPUT,STREAM_STDIO,102,101032,3349293230617,"Piglet:75eecd3f71a67590fde1c383849b4a8dc9e4e370
"
PROCESS_OUTPUT,STREAM_STDIO,102,101032,3349293254275,"BootParam :1   
"
PROCESS_OUTPUT,STREAM_STDIO,102,101032,3349293463847,"[PSM] set assembly path for mono
"
PROCESS_OUTPUT,STREAM_STDIO,102,101032,3349293775589,"[PSM] Loading Json
"
PROCESS_OUTPUT,STREAM_STDIO,102,101032,3349313150325,"[PSM] Loading Mono
"
PROCESS_OUTPUT,STREAM_STDIO,102,101032,3349315075528,"[PSM] jit_area_size       = 0x00900000 (9437184)
"
PROCESS_OUTPUT,STREAM_STDIO,102,101032,3349315301892,"[PSM] metadata_area_size  = 0x04000000 (67108864)
"
PROCESS_OUTPUT,STREAM_STDIO,102,101032,3349318502282,"[PSM] vm_comm_area_size   = 0x00004000 (16384)
"
